symbol,timeframe,param_id,friction_case,entry_mode,signal_time,entry_time,entry_time_semantic,exit_time,side,raw_entry,entry,raw_exit,exit,stop,target,atr_at_signal,risk,room_structure,room_reference_price,room_to_target_r,available_room_r,ema_200_at_signal,ema_200_slope_at_signal,ema_distance_atr_at_signal,gross_r,fee_r,net_r,exit_reason,taker_fee_bps_per_side,slippage_bps_per_side,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,stop_atr_mult,target_r,max_hold_bars,use_room_filter,room_lookback,min_room_r,use_trend_filter,ema_period,ema_slope_lookback,use_overextension_filter,max_ema_distance_atr
ADAUSDT,1h,n20_atr14_m2_vz1_cl0.8_cs0.2,base,next_close,2026-01-18 14:00:00+00:00,2026-01-18 16:00:00+00:00,next_candle_close,2026-01-18 18:00:00+00:00,short,0.3921,0.39190395,0.3955468071428571,0.3957445805464285,0.3955468071428571,0.38461823571428577,0.002428571428571419,0.0036428571428571282,0.3782,0.3901,3.2666666666666857,3.2666666666666857,0.39681364078742914,-0.00038600396081206467,2.76444032423554,-1.0542907382352855,0.08648689747176505,-1.1407776357070505,stop,4.0,5.0,20,14,2.0,1.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
BTCUSDT,1h,n20_atr14_m2_vz1_cl0.8_cs0.2,base,next_close,2026-02-22 13:00:00+00:00,2026-02-22 15:00:00+00:00,next_candle_close,2026-02-22 15:00:00+00:00,short,67420.1,67386.38995000001,67696.5792357143,67730.42752533214,67696.5792357143,66766.01137857145,206.79285714285652,310.1892857142848,66408.1,67622.4,3.914706458038269,3.914706458038269,68075.58779193096,-12.255783205793705,2.1915060229468746,-1.109121401598057,0.17423789111760385,-1.283359292715661,stop,4.0,5.0,20,14,2.0,1.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
BNBUSDT,1h,n20_atr14_m2_vz1_cl0.8_cs0.2,base,next_close,2026-04-01 13:00:00+00:00,2026-04-01 15:00:00+00:00,next_candle_close,2026-04-01 17:00:00+00:00,short,614.22,613.9128900000001,618.9303900000001,619.239855195,618.9303900000001,603.8778900000001,3.345000000000003,5.0175000000000045,598.6,611.35,2.5411061285500725,2.5411061285500725,620.8133645944191,-0.5150554097842814,2.829107502068485,-1.0616771689088096,0.09830814112167406,-1.1599853100304836,stop,4.0,5.0,20,14,2.0,1.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n20_atr14_m2_vz1_cl0.8_cs0.2,base,next_close,2026-04-02 01:00:00+00:00,2026-04-02 03:00:00+00:00,next_candle_close,2026-04-02 13:00:00+00:00,short,1.3176,1.3169412000000003,1.2882697714285718,1.288913906314286,1.3312769142857146,1.2882697714285718,0.00955714285714282,0.01433571428571423,1.3028,1.3275,1.722969606377681,1.722969606377681,1.3558320008467575,-0.0007585493003290367,2.9644843935321945,1.9550678206278056,0.07270945986726489,1.8823583607605407,target,4.0,5.0,20,14,2.0,1.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
SOLUSDT,1h,n20_atr14_m2_vz1_cl0.8_cs0.2,base,next_close,2026-04-06 22:00:00+00:00,2026-04-07 00:00:00+00:00,next_candle_close,2026-04-07 11:00:00+00:00,short,79.96,79.92002,79.17,79.209585,80.85966285714285,78.04073428571428,0.6264285714285691,0.9396428571428537,78.45,80.11,1.76662865830483,1.76662865830483,81.7181594858936,-0.0015313146083570928,2.5671873206967395,0.7560691752185399,0.06774046278981401,0.6883287124287258,time_stop,4.0,5.0,20,14,2.0,1.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
BTCUSDT,1h,n20_atr14_m2_vz1_cl0.8_cs0.2,base,next_close,2026-04-13 13:00:00+00:00,2026-04-13 15:00:00+00:00,next_candle_close,2026-04-13 15:00:00+00:00,long,72347.2,72383.37359999999,71910.91645714284,71874.96099891428,71910.91645714284,73328.28788571428,314.97142857143,472.457142857145,73773.4,71623.0,4.551523947750329,4.551523947750329,70805.31947929187,11.849273734493181,2.5960466459347398,-1.0761031106676295,0.12213453582394716,-1.1982376464915767,stop,4.0,5.0,20,14,2.0,1.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n20_atr14_m2_vz2_cl0.75_cs0.25,base,next_close,2025-08-05 14:00:00+00:00,2025-08-05 16:00:00+00:00,next_candle_close,2025-08-06 03:00:00+00:00,short,2.9702,2.9687149,2.9129,2.91435645,3.0158791857142857,2.874386328571429,0.031442857142857106,0.04716428571428566,2.8573,2.9752,2.499772830531582,2.499772830531582,3.0334329814248413,-9.186930504734292e-05,1.8520257608990873,1.1525341511434222,0.04989428980766324,1.1026398613357589,time_stop,4.0,5.0,20,14,2.0,2.0,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ETHUSDT,1h,n20_atr14_m2_vz2_cl0.75_cs0.25,base,next_close,2025-08-31 23:00:00+00:00,2025-09-01 01:00:00+00:00,next_candle_close,2025-09-01 07:00:00+00:00,short,4393.82,4391.62309,4435.202375714286,4437.419976902143,4435.202375714286,4304.464518571429,29.052857142857192,43.57928571428579,4254.97,4389.58,3.088852829817561,3.088852829817561,4467.172493826153,-1.051960636565127,2.670735392550877,-1.0508865886971295,0.08103889655087103,-1.1319254852480005,stop,4.0,5.0,20,14,2.0,2.0,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ETHUSDT,1h,n20_atr14_m2_vz2_cl0.75_cs0.25,base,next_close,2025-09-19 14:00:00+00:00,2025-09-19 16:00:00+00:00,next_candle_close,2025-09-20 03:00:00+00:00,short,4472.29,4470.053855,4463.6,4465.8318,4509.351712142857,4391.458140714286,26.19857142857128,39.29785714285692,4404.08,4493.16,2.266790264827246,2.266790264827246,4527.211410068436,-0.5582014101601089,1.2997430093192237,0.10743728302161674,0.09095544953014575,0.01648183349147099,time_stop,4.0,5.0,20,14,2.0,2.0,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LINKUSDT,1h,n20_atr14_m2_vz2_cl0.75_cs0.25,base,next_close,2025-10-05 02:00:00+00:00,2025-10-05 04:00:00+00:00,next_candle_close,2025-10-05 07:00:00+00:00,long,22.341,22.3521705,22.83024192857143,22.818826807607145,22.113134785714287,22.83024192857143,0.15935714285714248,0.2390357142857137,23.082,22.438,2.694158075601389,2.694158075601389,21.975333359064464,0.006145691086260285,2.9033316777666958,1.9522451237113558,0.0755887001113404,1.8766564236000154,target,4.0,5.0,20,14,2.0,2.0,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ETHUSDT,1h,n20_atr14_m2_vz2_cl0.75_cs0.25,base,next_close,2025-10-15 14:00:00+00:00,2025-10-15 16:00:00+00:00,next_candle_close,2025-10-16 03:00:00+00:00,short,3979.23,3977.240385,4012.92,4014.9264599999997,4052.6185992857145,3826.4839564285717,50.252142857142836,75.37821428571425,3885.09,4007.86,1.6287199313935918,1.6287199313935918,4155.766150537569,-5.445641518240336,2.9432804678207978,-0.4999597742811204,0.04241101713928335,-0.5423707914204037,time_stop,4.0,5.0,20,14,2.0,2.0,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n20_atr14_m2_vz2_cl0.75_cs0.25,base,next_close,2025-11-13 03:00:00+00:00,2025-11-13 05:00:00+00:00,next_candle_close,2025-11-13 15:00:00+00:00,long,2.4723,2.47353615,2.4248075785714285,2.4235951747821427,2.4248075785714285,2.570993292857143,0.032485714285714354,0.04872857142857153,2.5693,2.4824,1.7833479917912594,1.7833479917912594,2.388569002941194,8.393972208242673e-05,2.8883772181690524,-1.0248807579155714,0.04019926036174134,-1.0650800182773128,stop,4.0,5.0,20,14,2.0,2.0,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ADAUSDT,1h,n20_atr14_m2_vz2_cl0.75_cs0.25,base,next_close,2025-11-28 01:00:00+00:00,2025-11-28 03:00:00+00:00,next_candle_close,2025-11-28 08:00:00+00:00,short,0.4245,0.42428775,0.43005203571428574,0.43026706173214285,0.43005203571428574,0.41275917857142863,0.003842857142857136,0.0057642857142857044,0.4101,0.4229,2.220570012391574,2.220570012391574,0.4337046431322847,-9.918409824727359e-05,2.8116171719699974,-1.0373031505576185,0.059299962152416466,-1.0966031127100349,stop,4.0,5.0,20,14,2.0,2.0,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n20_atr14_m2_vz2_cl0.75_cs0.25,base,next_close,2025-12-21 13:00:00+00:00,2025-12-21 15:00:00+00:00,next_candle_close,2025-12-21 23:00:00+00:00,short,1.9064,1.9054468000000002,1.9230396571428574,1.9240011769714287,1.9230396571428574,1.870261085714286,0.011728571428571422,0.017592857142857132,1.8621,1.898,2.0406008932196418,2.0406008932196418,1.930262912127061,-0.00043210199893062295,2.7507964054741434,-1.054653989443763,0.087068244705806,-1.141722234149569,stop,4.0,5.0,20,14,2.0,2.0,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
AVAXUSDT,1h,n20_atr14_m2_vz2_cl0.75_cs0.25,base,next_close,2026-01-11 14:00:00+00:00,2026-01-11 16:00:00+00:00,next_candle_close,2026-01-11 20:00:00+00:00,long,13.798,13.804898999999999,13.717041857142856,13.710183336214286,13.717041857142856,13.980613285714284,0.058571428571428594,0.08785714285714288,14.22,13.95,3.0731707317073313,3.0731707317073313,13.818650362927409,0.0006916500758951116,2.242554779288128,-1.078064465853648,0.12527191957951217,-1.2033363854331602,stop,4.0,5.0,20,14,2.0,2.0,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ADAUSDT,1h,n20_atr14_m2_vz2_cl0.75_cs0.25,base,next_close,2026-01-18 14:00:00+00:00,2026-01-18 16:00:00+00:00,next_candle_close,2026-01-18 18:00:00+00:00,short,0.3921,0.39190395,0.3955468071428571,0.3957445805464285,0.3955468071428571,0.38461823571428577,0.002428571428571419,0.0036428571428571282,0.3782,0.3901,3.2666666666666857,3.2666666666666857,0.39681364078742914,-0.00038600396081206467,2.76444032423554,-1.0542907382352855,0.08648689747176505,-1.1407776357070505,stop,4.0,5.0,20,14,2.0,2.0,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
BTCUSDT,1h,n20_atr14_m2_vz2_cl0.75_cs0.25,base,next_close,2026-02-22 13:00:00+00:00,2026-02-22 15:00:00+00:00,next_candle_close,2026-02-22 15:00:00+00:00,short,67420.1,67386.38995000001,67696.5792357143,67730.42752533214,67696.5792357143,66766.01137857145,206.79285714285652,310.1892857142848,66408.1,67622.4,3.914706458038269,3.914706458038269,68075.58779193096,-12.255783205793705,2.1915060229468746,-1.109121401598057,0.17423789111760385,-1.283359292715661,stop,4.0,5.0,20,14,2.0,2.0,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n20_atr14_m2_vz2_cl0.75_cs0.25,base,next_close,2026-04-02 01:00:00+00:00,2026-04-02 03:00:00+00:00,next_candle_close,2026-04-02 13:00:00+00:00,short,1.3176,1.3169412000000003,1.2882697714285718,1.288913906314286,1.3312769142857146,1.2882697714285718,0.00955714285714282,0.01433571428571423,1.3028,1.3275,1.722969606377681,1.722969606377681,1.3558320008467575,-0.0007585493003290367,2.9644843935321945,1.9550678206278056,0.07270945986726489,1.8823583607605407,target,4.0,5.0,20,14,2.0,2.0,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ADAUSDT,1h,n20_atr14_m2_vz2_cl0.75_cs0.25,base,next_close,2026-04-02 01:00:00+00:00,2026-04-02 03:00:00+00:00,next_candle_close,2026-04-02 14:00:00+00:00,short,0.2404,0.24027980000000002,0.2421,0.24222105,0.2441155142857143,0.23260837142857144,0.002557142857142855,0.0038357142857142826,0.2342,0.2429,2.268156424581011,2.268156424581011,0.25006851575030015,-0.00018406261907449872,2.803330181681622,-0.5060986964618196,0.05031666219739296,-0.5564153586592125,time_stop,4.0,5.0,20,14,2.0,2.0,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
BTCUSDT,1h,n20_atr14_m2_vz2_cl0.75_cs0.25,base,next_close,2026-04-13 13:00:00+00:00,2026-04-13 15:00:00+00:00,next_candle_close,2026-04-13 15:00:00+00:00,long,72347.2,72383.37359999999,71910.91645714284,71874.96099891428,71910.91645714284,73328.28788571428,314.97142857143,472.457142857145,73773.4,71623.0,4.551523947750329,4.551523947750329,70805.31947929187,11.849273734493181,2.5960466459347398,-1.0761031106676295,0.12213453582394716,-1.1982376464915767,stop,4.0,5.0,20,14,2.0,2.0,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n20_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,2025-08-05 14:00:00+00:00,2025-08-05 16:00:00+00:00,next_candle_close,2025-08-06 03:00:00+00:00,short,2.9702,2.9687149,2.9129,2.91435645,3.0158791857142857,2.874386328571429,0.031442857142857106,0.04716428571428566,2.8573,2.9752,2.499772830531582,2.499772830531582,3.0334329814248413,-9.186930504734292e-05,1.8520257608990873,1.1525341511434222,0.04989428980766324,1.1026398613357589,time_stop,4.0,5.0,20,14,2.0,2.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ETHUSDT,1h,n20_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,2025-08-31 23:00:00+00:00,2025-09-01 01:00:00+00:00,next_candle_close,2025-09-01 07:00:00+00:00,short,4393.82,4391.62309,4435.202375714286,4437.419976902143,4435.202375714286,4304.464518571429,29.052857142857192,43.57928571428579,4254.97,4389.58,3.088852829817561,3.088852829817561,4467.172493826153,-1.051960636565127,2.670735392550877,-1.0508865886971295,0.08103889655087103,-1.1319254852480005,stop,4.0,5.0,20,14,2.0,2.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ETHUSDT,1h,n20_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,2025-09-19 14:00:00+00:00,2025-09-19 16:00:00+00:00,next_candle_close,2025-09-20 03:00:00+00:00,short,4472.29,4470.053855,4463.6,4465.8318,4509.351712142857,4391.458140714286,26.19857142857128,39.29785714285692,4404.08,4493.16,2.266790264827246,2.266790264827246,4527.211410068436,-0.5582014101601089,1.2997430093192237,0.10743728302161674,0.09095544953014575,0.01648183349147099,time_stop,4.0,5.0,20,14,2.0,2.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LINKUSDT,1h,n20_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,2025-10-05 02:00:00+00:00,2025-10-05 04:00:00+00:00,next_candle_close,2025-10-05 07:00:00+00:00,long,22.341,22.3521705,22.83024192857143,22.818826807607145,22.113134785714287,22.83024192857143,0.15935714285714248,0.2390357142857137,23.082,22.438,2.694158075601389,2.694158075601389,21.975333359064464,0.006145691086260285,2.9033316777666958,1.9522451237113558,0.0755887001113404,1.8766564236000154,target,4.0,5.0,20,14,2.0,2.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ETHUSDT,1h,n20_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,2025-10-15 14:00:00+00:00,2025-10-15 16:00:00+00:00,next_candle_close,2025-10-16 03:00:00+00:00,short,3979.23,3977.240385,4012.92,4014.9264599999997,4052.6185992857145,3826.4839564285717,50.252142857142836,75.37821428571425,3885.09,4007.86,1.6287199313935918,1.6287199313935918,4155.766150537569,-5.445641518240336,2.9432804678207978,-0.4999597742811204,0.04241101713928335,-0.5423707914204037,time_stop,4.0,5.0,20,14,2.0,2.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n20_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,2025-11-13 03:00:00+00:00,2025-11-13 05:00:00+00:00,next_candle_close,2025-11-13 15:00:00+00:00,long,2.4723,2.47353615,2.4248075785714285,2.4235951747821427,2.4248075785714285,2.570993292857143,0.032485714285714354,0.04872857142857153,2.5693,2.4824,1.7833479917912594,1.7833479917912594,2.388569002941194,8.393972208242673e-05,2.8883772181690524,-1.0248807579155714,0.04019926036174134,-1.0650800182773128,stop,4.0,5.0,20,14,2.0,2.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ADAUSDT,1h,n20_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,2025-11-28 01:00:00+00:00,2025-11-28 03:00:00+00:00,next_candle_close,2025-11-28 08:00:00+00:00,short,0.4245,0.42428775,0.43005203571428574,0.43026706173214285,0.43005203571428574,0.41275917857142863,0.003842857142857136,0.0057642857142857044,0.4101,0.4229,2.220570012391574,2.220570012391574,0.4337046431322847,-9.918409824727359e-05,2.8116171719699974,-1.0373031505576185,0.059299962152416466,-1.0966031127100349,stop,4.0,5.0,20,14,2.0,2.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LINKUSDT,1h,n20_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,2025-12-06 14:00:00+00:00,2025-12-06 16:00:00+00:00,next_candle_close,2025-12-07 03:00:00+00:00,long,13.81,13.816905,14.003,13.9959985,13.646976428571428,14.156762142857144,0.11328571428571443,0.16992857142857165,14.588,13.84,4.401849516603606,4.401849516603606,13.553157705853293,0.011989721258135688,2.5320252951159476,1.053934005884827,0.06546963413198816,0.9884643717528389,time_stop,4.0,5.0,20,14,2.0,2.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n20_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,2025-12-21 13:00:00+00:00,2025-12-21 15:00:00+00:00,next_candle_close,2025-12-21 23:00:00+00:00,short,1.9064,1.9054468000000002,1.9230396571428574,1.9240011769714287,1.9230396571428574,1.870261085714286,0.011728571428571422,0.017592857142857132,1.8621,1.898,2.0406008932196418,2.0406008932196418,1.930262912127061,-0.00043210199893062295,2.7507964054741434,-1.054653989443763,0.087068244705806,-1.141722234149569,stop,4.0,5.0,20,14,2.0,2.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
AVAXUSDT,1h,n20_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,2026-01-11 14:00:00+00:00,2026-01-11 16:00:00+00:00,next_candle_close,2026-01-11 20:00:00+00:00,long,13.798,13.804898999999999,13.717041857142856,13.710183336214286,13.717041857142856,13.980613285714284,0.058571428571428594,0.08785714285714288,14.22,13.95,3.0731707317073313,3.0731707317073313,13.818650362927409,0.0006916500758951116,2.242554779288128,-1.078064465853648,0.12527191957951217,-1.2033363854331602,stop,4.0,5.0,20,14,2.0,2.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ADAUSDT,1h,n20_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,2026-01-18 14:00:00+00:00,2026-01-18 16:00:00+00:00,next_candle_close,2026-01-18 18:00:00+00:00,short,0.3921,0.39190395,0.3955468071428571,0.3957445805464285,0.3955468071428571,0.38461823571428577,0.002428571428571419,0.0036428571428571282,0.3782,0.3901,3.2666666666666857,3.2666666666666857,0.39681364078742914,-0.00038600396081206467,2.76444032423554,-1.0542907382352855,0.08648689747176505,-1.1407776357070505,stop,4.0,5.0,20,14,2.0,2.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
BTCUSDT,1h,n20_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,2026-02-22 13:00:00+00:00,2026-02-22 15:00:00+00:00,next_candle_close,2026-02-22 15:00:00+00:00,short,67420.1,67386.38995000001,67696.5792357143,67730.42752533214,67696.5792357143,66766.01137857145,206.79285714285652,310.1892857142848,66408.1,67622.4,3.914706458038269,3.914706458038269,68075.58779193096,-12.255783205793705,2.1915060229468746,-1.109121401598057,0.17423789111760385,-1.283359292715661,stop,4.0,5.0,20,14,2.0,2.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n20_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,2026-04-02 01:00:00+00:00,2026-04-02 03:00:00+00:00,next_candle_close,2026-04-02 13:00:00+00:00,short,1.3176,1.3169412000000003,1.2882697714285718,1.288913906314286,1.3312769142857146,1.2882697714285718,0.00955714285714282,0.01433571428571423,1.3028,1.3275,1.722969606377681,1.722969606377681,1.3558320008467575,-0.0007585493003290367,2.9644843935321945,1.9550678206278056,0.07270945986726489,1.8823583607605407,target,4.0,5.0,20,14,2.0,2.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ADAUSDT,1h,n20_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,2026-04-02 01:00:00+00:00,2026-04-02 03:00:00+00:00,next_candle_close,2026-04-02 14:00:00+00:00,short,0.2404,0.24027980000000002,0.2421,0.24222105,0.2441155142857143,0.23260837142857144,0.002557142857142855,0.0038357142857142826,0.2342,0.2429,2.268156424581011,2.268156424581011,0.25006851575030015,-0.00018406261907449872,2.803330181681622,-0.5060986964618196,0.05031666219739296,-0.5564153586592125,time_stop,4.0,5.0,20,14,2.0,2.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
BTCUSDT,1h,n20_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,2026-04-13 13:00:00+00:00,2026-04-13 15:00:00+00:00,next_candle_close,2026-04-13 15:00:00+00:00,long,72347.2,72383.37359999999,71910.91645714284,71874.96099891428,71910.91645714284,73328.28788571428,314.97142857143,472.457142857145,73773.4,71623.0,4.551523947750329,4.551523947750329,70805.31947929187,11.849273734493181,2.5960466459347398,-1.0761031106676295,0.12213453582394716,-1.1982376464915767,stop,4.0,5.0,20,14,2.0,2.0,0.7,0.3,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ETHUSDT,1h,n20_atr14_m2_vz2_cl0.8_cs0.2,base,next_close,2025-09-19 14:00:00+00:00,2025-09-19 16:00:00+00:00,next_candle_close,2025-09-20 03:00:00+00:00,short,4472.29,4470.053855,4463.6,4465.8318,4509.351712142857,4391.458140714286,26.19857142857128,39.29785714285692,4404.08,4493.16,2.266790264827246,2.266790264827246,4527.211410068436,-0.5582014101601089,1.2997430093192237,0.10743728302161674,0.09095544953014575,0.01648183349147099,time_stop,4.0,5.0,20,14,2.0,2.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LINKUSDT,1h,n20_atr14_m2_vz2_cl0.8_cs0.2,base,next_close,2025-10-05 02:00:00+00:00,2025-10-05 04:00:00+00:00,next_candle_close,2025-10-05 07:00:00+00:00,long,22.341,22.3521705,22.83024192857143,22.818826807607145,22.113134785714287,22.83024192857143,0.15935714285714248,0.2390357142857137,23.082,22.438,2.694158075601389,2.694158075601389,21.975333359064464,0.006145691086260285,2.9033316777666958,1.9522451237113558,0.0755887001113404,1.8766564236000154,target,4.0,5.0,20,14,2.0,2.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ETHUSDT,1h,n20_atr14_m2_vz2_cl0.8_cs0.2,base,next_close,2025-10-15 14:00:00+00:00,2025-10-15 16:00:00+00:00,next_candle_close,2025-10-16 03:00:00+00:00,short,3979.23,3977.240385,4012.92,4014.9264599999997,4052.6185992857145,3826.4839564285717,50.252142857142836,75.37821428571425,3885.09,4007.86,1.6287199313935918,1.6287199313935918,4155.766150537569,-5.445641518240336,2.9432804678207978,-0.4999597742811204,0.04241101713928335,-0.5423707914204037,time_stop,4.0,5.0,20,14,2.0,2.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ADAUSDT,1h,n20_atr14_m2_vz2_cl0.8_cs0.2,base,next_close,2025-11-28 01:00:00+00:00,2025-11-28 03:00:00+00:00,next_candle_close,2025-11-28 08:00:00+00:00,short,0.4245,0.42428775,0.43005203571428574,0.43026706173214285,0.43005203571428574,0.41275917857142863,0.003842857142857136,0.0057642857142857044,0.4101,0.4229,2.220570012391574,2.220570012391574,0.4337046431322847,-9.918409824727359e-05,2.8116171719699974,-1.0373031505576185,0.059299962152416466,-1.0966031127100349,stop,4.0,5.0,20,14,2.0,2.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n20_atr14_m2_vz2_cl0.8_cs0.2,base,next_close,2025-12-21 13:00:00+00:00,2025-12-21 15:00:00+00:00,next_candle_close,2025-12-21 23:00:00+00:00,short,1.9064,1.9054468000000002,1.9230396571428574,1.9240011769714287,1.9230396571428574,1.870261085714286,0.011728571428571422,0.017592857142857132,1.8621,1.898,2.0406008932196418,2.0406008932196418,1.930262912127061,-0.00043210199893062295,2.7507964054741434,-1.054653989443763,0.087068244705806,-1.141722234149569,stop,4.0,5.0,20,14,2.0,2.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
AVAXUSDT,1h,n20_atr14_m2_vz2_cl0.8_cs0.2,base,next_close,2026-01-11 14:00:00+00:00,2026-01-11 16:00:00+00:00,next_candle_close,2026-01-11 20:00:00+00:00,long,13.798,13.804898999999999,13.717041857142856,13.710183336214286,13.717041857142856,13.980613285714284,0.058571428571428594,0.08785714285714288,14.22,13.95,3.0731707317073313,3.0731707317073313,13.818650362927409,0.0006916500758951116,2.242554779288128,-1.078064465853648,0.12527191957951217,-1.2033363854331602,stop,4.0,5.0,20,14,2.0,2.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ADAUSDT,1h,n20_atr14_m2_vz2_cl0.8_cs0.2,base,next_close,2026-01-18 14:00:00+00:00,2026-01-18 16:00:00+00:00,next_candle_close,2026-01-18 18:00:00+00:00,short,0.3921,0.39190395,0.3955468071428571,0.3957445805464285,0.3955468071428571,0.38461823571428577,0.002428571428571419,0.0036428571428571282,0.3782,0.3901,3.2666666666666857,3.2666666666666857,0.39681364078742914,-0.00038600396081206467,2.76444032423554,-1.0542907382352855,0.08648689747176505,-1.1407776357070505,stop,4.0,5.0,20,14,2.0,2.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
BTCUSDT,1h,n20_atr14_m2_vz2_cl0.8_cs0.2,base,next_close,2026-02-22 13:00:00+00:00,2026-02-22 15:00:00+00:00,next_candle_close,2026-02-22 15:00:00+00:00,short,67420.1,67386.38995000001,67696.5792357143,67730.42752533214,67696.5792357143,66766.01137857145,206.79285714285652,310.1892857142848,66408.1,67622.4,3.914706458038269,3.914706458038269,68075.58779193096,-12.255783205793705,2.1915060229468746,-1.109121401598057,0.17423789111760385,-1.283359292715661,stop,4.0,5.0,20,14,2.0,2.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n20_atr14_m2_vz2_cl0.8_cs0.2,base,next_close,2026-04-02 01:00:00+00:00,2026-04-02 03:00:00+00:00,next_candle_close,2026-04-02 13:00:00+00:00,short,1.3176,1.3169412000000003,1.2882697714285718,1.288913906314286,1.3312769142857146,1.2882697714285718,0.00955714285714282,0.01433571428571423,1.3028,1.3275,1.722969606377681,1.722969606377681,1.3558320008467575,-0.0007585493003290367,2.9644843935321945,1.9550678206278056,0.07270945986726489,1.8823583607605407,target,4.0,5.0,20,14,2.0,2.0,0.8,0.2,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
