symbol,signal_time,signal_close_time,entry_candle_open_time,entry_time,entry_time_semantic,exit_time,entry_mode,exit_model,horizon_bars,friction_case,taker_fee_bps_per_side,slippage_bps_per_side,event_definition,dislocation_definition,event_return,event_return_pct,btc_return,basket_median_return,rel_to_btc,rel_to_basket,symbol_return_zscore,underperformance_rank,breadth_down_1pct,breadth_down_2pct,entry_price,exit_price,gross_return,fee_return,net_return,net_return_pct,abs_dislocation
ADAUSDT,2025-05-09 08:30:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 09:00:00+00:00,next_candle_close,2025-05-09 10:30:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_2pct_ge_5,rel_btc_le_1%,-0.032262051915945666,-3.2262051915945666,-0.0083800823915956,-0.023553693923389685,-0.023881969524350066,-0.008708357992555982,-6.177290373081098,1,7,5,0.7900948499999999,0.7870063,-0.003909087624099583,0.0008,-0.0047090876240995835,-0.4709087624099583,0.008708357992555982
ADAUSDT,2025-05-09 08:30:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 09:00:00+00:00,next_candle_close,2025-05-09 10:30:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_2pct_ge_5,rel_btc_le_2%,-0.032262051915945666,-3.2262051915945666,-0.0083800823915956,-0.023553693923389685,-0.023881969524350066,-0.008708357992555982,-6.177290373081098,1,7,5,0.7900948499999999,0.7870063,-0.003909087624099583,0.0008,-0.0047090876240995835,-0.4709087624099583,0.008708357992555982
ADAUSDT,2025-05-09 08:30:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 09:00:00+00:00,next_candle_close,2025-05-09 10:30:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_2pct_ge_5,symbol_zscore_le_-1,-0.032262051915945666,-3.2262051915945666,-0.0083800823915956,-0.023553693923389685,-0.023881969524350066,-0.008708357992555982,-6.177290373081098,1,7,5,0.7900948499999999,0.7870063,-0.003909087624099583,0.0008,-0.0047090876240995835,-0.4709087624099583,0.008708357992555982
ADAUSDT,2025-05-09 08:30:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 09:00:00+00:00,next_candle_close,2025-05-09 10:30:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_2pct_ge_5,symbol_zscore_le_-2,-0.032262051915945666,-3.2262051915945666,-0.0083800823915956,-0.023553693923389685,-0.023881969524350066,-0.008708357992555982,-6.177290373081098,1,7,5,0.7900948499999999,0.7870063,-0.003909087624099583,0.0008,-0.0047090876240995835,-0.4709087624099583,0.008708357992555982
ADAUSDT,2025-05-09 08:30:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 09:00:00+00:00,next_candle_close,2025-05-09 10:30:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_2pct_ge_5,rel_btc_le_-1_atr_equiv,-0.032262051915945666,-3.2262051915945666,-0.0083800823915956,-0.023553693923389685,-0.023881969524350066,-0.008708357992555982,-6.177290373081098,1,7,5,0.7900948499999999,0.7870063,-0.003909087624099583,0.0008,-0.0047090876240995835,-0.4709087624099583,0.008708357992555982
ADAUSDT,2025-05-09 08:30:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 09:00:00+00:00,next_candle_close,2025-05-09 10:30:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_2pct_ge_5,bottom_1_performer,-0.032262051915945666,-3.2262051915945666,-0.0083800823915956,-0.023553693923389685,-0.023881969524350066,-0.008708357992555982,-6.177290373081098,1,7,5,0.7900948499999999,0.7870063,-0.003909087624099583,0.0008,-0.0047090876240995835,-0.4709087624099583,0.008708357992555982
ADAUSDT,2025-05-09 08:30:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 09:00:00+00:00,next_candle_close,2025-05-09 10:30:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_2pct_ge_5,bottom_2_performer,-0.032262051915945666,-3.2262051915945666,-0.0083800823915956,-0.023553693923389685,-0.023881969524350066,-0.008708357992555982,-6.177290373081098,1,7,5,0.7900948499999999,0.7870063,-0.003909087624099583,0.0008,-0.0047090876240995835,-0.4709087624099583,0.008708357992555982
ADAUSDT,2025-05-09 08:30:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 09:00:00+00:00,next_candle_close,2025-05-09 10:30:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_2pct_ge_5,bottom_3_performer,-0.032262051915945666,-3.2262051915945666,-0.0083800823915956,-0.023553693923389685,-0.023881969524350066,-0.008708357992555982,-6.177290373081098,1,7,5,0.7900948499999999,0.7870063,-0.003909087624099583,0.0008,-0.0047090876240995835,-0.4709087624099583,0.008708357992555982
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,basket_return_le_1%,rel_btc_le_1%,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,basket_return_le_1%,symbol_zscore_le_-1,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,basket_return_le_1%,symbol_zscore_le_-2,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,basket_return_le_1%,rel_btc_le_-1_atr_equiv,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,basket_return_le_1%,bottom_2_performer,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,basket_return_le_1%,bottom_3_performer,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_4,rel_btc_le_1%,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_4,symbol_zscore_le_-1,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_4,symbol_zscore_le_-2,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_4,rel_btc_le_-1_atr_equiv,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_4,bottom_2_performer,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_4,bottom_3_performer,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_5,rel_btc_le_1%,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_5,symbol_zscore_le_-1,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_5,symbol_zscore_le_-2,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_5,rel_btc_le_-1_atr_equiv,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_5,bottom_2_performer,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_5,bottom_3_performer,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_6,rel_btc_le_1%,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_6,symbol_zscore_le_-1,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_6,symbol_zscore_le_-2,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_6,rel_btc_le_-1_atr_equiv,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_6,bottom_2_performer,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 14:45:00+00:00,next_candle_close,2025-05-09 16:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,breadth_down_1pct_ge_6,bottom_3_performer,-0.019694483019820797,-1.9694483019820797,-0.008549353702095197,-0.017532618825722435,-0.0111451293177256,-0.002161864194098362,-2.957182860475158,2,7,1,0.78069015,0.7786105000000001,-0.0026638609440632344,0.0008,-0.0034638609440632347,-0.34638609440632345,0.002161864194098362
ADAUSDT,2025-05-11 00:15:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 00:45:00+00:00,next_candle_close,2025-05-11 02:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,basket_return_le_1%,rel_btc_le_1%,-0.0340354635249317,-3.4035463524931697,-0.006786703071463562,-0.02751332825590247,-0.027248760453468135,-0.006522135269029228,-6.272060062222466,2,8,7,0.82411185,0.8157919000000001,-0.01009565631170073,0.0008,-0.010895656311700728,-1.0895656311700728,0.006522135269029228
ADAUSDT,2025-05-11 00:15:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 00:45:00+00:00,next_candle_close,2025-05-11 02:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,basket_return_le_1%,rel_btc_le_2%,-0.0340354635249317,-3.4035463524931697,-0.006786703071463562,-0.02751332825590247,-0.027248760453468135,-0.006522135269029228,-6.272060062222466,2,8,7,0.82411185,0.8157919000000001,-0.01009565631170073,0.0008,-0.010895656311700728,-1.0895656311700728,0.006522135269029228
ADAUSDT,2025-05-11 00:15:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 00:45:00+00:00,next_candle_close,2025-05-11 02:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,basket_return_le_1%,symbol_zscore_le_-1,-0.0340354635249317,-3.4035463524931697,-0.006786703071463562,-0.02751332825590247,-0.027248760453468135,-0.006522135269029228,-6.272060062222466,2,8,7,0.82411185,0.8157919000000001,-0.01009565631170073,0.0008,-0.010895656311700728,-1.0895656311700728,0.006522135269029228
ADAUSDT,2025-05-11 00:15:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 00:45:00+00:00,next_candle_close,2025-05-11 02:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,basket_return_le_1%,symbol_zscore_le_-2,-0.0340354635249317,-3.4035463524931697,-0.006786703071463562,-0.02751332825590247,-0.027248760453468135,-0.006522135269029228,-6.272060062222466,2,8,7,0.82411185,0.8157919000000001,-0.01009565631170073,0.0008,-0.010895656311700728,-1.0895656311700728,0.006522135269029228
ADAUSDT,2025-05-11 00:15:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 00:45:00+00:00,next_candle_close,2025-05-11 02:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,basket_return_le_1%,rel_btc_le_-1_atr_equiv,-0.0340354635249317,-3.4035463524931697,-0.006786703071463562,-0.02751332825590247,-0.027248760453468135,-0.006522135269029228,-6.272060062222466,2,8,7,0.82411185,0.8157919000000001,-0.01009565631170073,0.0008,-0.010895656311700728,-1.0895656311700728,0.006522135269029228
ADAUSDT,2025-05-11 00:15:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 00:45:00+00:00,next_candle_close,2025-05-11 02:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,basket_return_le_1%,bottom_2_performer,-0.0340354635249317,-3.4035463524931697,-0.006786703071463562,-0.02751332825590247,-0.027248760453468135,-0.006522135269029228,-6.272060062222466,2,8,7,0.82411185,0.8157919000000001,-0.01009565631170073,0.0008,-0.010895656311700728,-1.0895656311700728,0.006522135269029228
ADAUSDT,2025-05-11 00:15:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 00:45:00+00:00,next_candle_close,2025-05-11 02:15:00+00:00,next_close,fixed_horizon_6,6,base,4.0,5.0,basket_return_le_1%,bottom_3_performer,-0.0340354635249317,-3.4035463524931697,-0.006786703071463562,-0.02751332825590247,-0.027248760453468135,-0.006522135269029228,-6.272060062222466,2,8,7,0.82411185,0.8157919000000001,-0.01009565631170073,0.0008,-0.010895656311700728,-1.0895656311700728,0.006522135269029228
